chr	RPE1	LS513	SW48	LOVO	CL11
1	2	3	2	2	2
2	2	2	2	2	2
3	2	2	2	2	2
4	2	2	2	2	2
5	2	3	2	3	2
6	2	2	2	2	1
7	2	3	3	3	4
8	2	2	2	2	2
9	2	3	2	2	2
10	3	2	2	2	2
11	2	2	2	2	2
12	2	2	2	3	2
13	2	4	2	2	2
14	2	2	3	2	2
15	2	2	2	3	2
16	2	2	2	2	2
17	2	2	2	2	1
18	2	2	2	2	1
19	2	2	2	2	2
20	2	2	2	2	2
21	2	2	2	2	2
22	2	2	2	2	1
X	2	1	2	1	1
